Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=336 ttl=245 time=45.0 ms
64 bytes from 198.49.23.145: icmp_seq=337 ttl=245 time=45.5 ms
64 bytes from 198.49.23.145: icmp_seq=338 ttl=244 time=49.5 ms
64 bytes from 198.49.23.145: icmp_seq=339 ttl=245 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=340 ttl=244 time=46.7 ms
64 bytes from 198.49.23.145: icmp_seq=341 ttl=244 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=342 ttl=245 time=48.8 ms
64 bytes from 198.49.23.145: icmp_seq=343 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=344 ttl=245 time=50.8 ms
64 bytes from 198.49.23.145: icmp_seq=345 ttl=244 time=44.5 ms
64 bytes from 198.49.23.145: icmp_seq=346 ttl=245 time=50.2 ms
64 bytes from 198.49.23.145: icmp_seq=347 ttl=245 time=50.5 ms
64 bytes from 198.49.23.145: icmp_seq=348 ttl=244 time=59.0 ms
64 bytes from 198.49.23.145: icmp_seq=349 ttl=245 time=59.7 ms
64 bytes from 198.49.23.145: icmp_seq=350 ttl=245 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=351 ttl=244 time=51.0 ms
64 bytes from 198.49.23.145: icmp_seq=352 ttl=245 time=46.0 ms
